Data,Label
51.63,0
518.98,0
518.98,0
51.79,0
51.79,0
51.79,0
51.79,0
326.34,0
395.01,0
51.79,0
51.79,0
51.79,0
51.79,0
395.01,0
51.79,0
51.79,0
51.79,0
51.79,0
814.71,0
1005.45,0
1005.45,0
1005.43,0
1005.43,0
1005.43,0
51.77,0
51.77,0
51.77,0
51.77,0
518.96,0
518.96,0
51.77,0
51.77,0
51.77,0
51.77,0
669.74,0
824.24,0
824.24,0
824.24,0
51.77,0
51.77,0
51.77,0
51.77,0
518.96,0
426.86,0
51.77,0
51.77,0
51.77,0
51.77,0
814.69,0
1005.39,0
1005.39,0
1005.39,0
1005.39,0
1005.39,0
51.74,0
51.74,0
51.74,0
51.74,0
394.96,0
51.74,0
51.74,0
51.74,0
51.74,0
394.96,0
51.74,0
51.74,0
51.74,0
51.74,0
394.96,0
51.74,0
51.74,0
51.74,0
51.74,0
425.46,0
518.93,0
51.74,0
51.74,0
51.74,0
51.74,0
669.71,0
824.21,0
824.21,0
824.21,0
51.79,0
51.79,0
51.79,0
51.79,0
425.52,0
518.87,0
51.68,0
51.68,0
51.68,0
51.68,0
394.9,0
51.68,0
51.68,0
51.68,0
51.68,0
814.6,0
1005.34,0
1005.34,0
1005.34,0
1005.34,0
1005.34,0
51.68,0
51.68,0
51.68,0
51.68,0
814.6,0
1005.45,0
1005.42,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
425.49,0
518.95,0
51.76,0
51.76,0
51.76,0
51.76,0
394.98,0
51.76,0
51.76,0
51.76,0
51.76,0
326.31,0
51.76,0
51.76,0
51.76,0
51.76,0
814.68,0
1005.42,0
1005.42,0
1005.42,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
518.95,0
518.95,0
51.76,0
51.76,0
51.76,0
51.76,0
814.68,0
1005.42,0
1005.42,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
814.68,0
814.68,0
1005.42,0
1005.42,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
394.98,0
51.76,0
51.76,0
51.76,0
51.76,0
425.49,0
518.95,0
51.76,0
51.76,0
51.76,0
51.76,0
425.49,0
518.95,0
51.64,0
51.64,0
51.64,0
51.64,0
669.62,0
824.22,0
824.22,0
824.22,0
51.75,0
51.75,0
51.75,0
51.75,0
425.48,0
518.94,0
51.75,0
51.75,0
51.75,0
51.75,0
814.67,0
1005.41,0
1005.41,0
1005.41,0
1005.41,0
1005.41,0
51.75,0
51.75,0
51.75,0
51.75,0
394.97,0
51.75,0
51.75,0
51.75,0
51.75,0
669.72,0
824.22,0
824.22,0
824.22,0
51.75,0
51.75,0
51.75,0
51.75,0
814.67,0
1005.41,0
1005.41,0
1005.41,0
1005.41,0
51.75,0
51.75,0
51.75,0
51.75,0
425.48,0
518.94,0
51.75,0
51.75,0
51.75,0
51.75,0
394.97,0
51.75,0
51.75,0
51.75,0
51.75,0
669.72,0
824.22,0
824.22,0
824.22,0
51.75,0
51.75,0
51.75,0
51.75,0
814.67,0
1005.41,0
1005.41,0
1005.38,0
1005.38,0
1005.38,0
51.73,0
51.73,0
51.73,0
51.73,0
394.95,0
51.73,0
51.73,0
51.73,0
51.73,0
518.91,0
518.91,0
51.73,0
51.73,0
51.73,0
51.73,0
669.7,0
824.2,0
824.2,0
824.2,0
51.73,0
51.73,0
51.73,0
51.73,0
669.7,0
824.2,0
824.2,0
824.2,0
51.73,0
51.73,0
51.73,0
51.73,0
669.7,0
824.2,0
824.2,0
824.2,0
51.73,0
51.73,0
51.73,0
51.73,0
814.64,0
814.64,0
1005.38,0
1005.38,0
1005.38,0
1005.38,0
51.73,0
51.73,0
51.73,0
51.73,0
518.91,0
518.91,0
51.73,0
51.73,0
51.73,0
51.73,0
814.64,0
1005.38,0
1005.38,0
1005.38,0
1005.38,0
51.73,0
51.73,0
51.73,0
51.73,0
394.95,0
51.73,0
51.73,0
51.73,0
51.73,0
425.45,0
518.91,0
51.73,0
51.73,0
51.73,0
51.73,0
669.7,0
824.2,0
824.2,0
824.2,0
51.73,0
51.73,0
51.73,0
51.73,0
669.7,0
824.22,0
824.22,0
824.22,0
51.75,0
51.75,0
51.75,0
51.75,0
814.67,0
830.39,0
826.39,0
1005.41,0
1005.41,0
1005.38,0
51.73,0
51.73,0
51.73,0
51.73,0
669.75,0
824.24,0
824.24,0
824.24,0
51.77,0
51.77,0
51.77,0
51.77,0
669.75,0
824.24,0
824.24,0
