Data,Label
672.32,0
826.82,0
826.82,0
826.82,0
54.35,0
54.35,0
54.35,0
54.35,0
428.08,0
521.54,0
54.35,0
54.35,0
54.35,0
54.35,0
397.57,0
397.57,0
54.35,0
54.35,0
54.35,0
54.35,0
672.43,0
712.93,0
826.93,0
826.93,0
54.46,0
54.46,0
54.46,0
54.46,0
817.38,0
1008.12,0
1008.12,0
1008.12,0
1008.12,0
1008.12,0
54.46,0
54.46,0
54.46,0
54.46,0
817.38,0
961.11,0
1008.12,0
1008.12,0
1008.12,0
1008.12,0
54.46,0
54.46,0
54.46,0
54.46,0
817.38,0
1008.12,0
1008.12,0
1008.12,0
1008.12,0
1008.12,0
54.46,0
54.46,0
54.46,0
54.46,0
672.44,0
826.93,0
826.93,0
826.93,0
54.46,0
54.46,0
54.46,0
54.46,0
428.19,0
521.65,0
54.46,0
54.46,0
54.46,0
54.46,0
428.19,0
521.65,0
54.46,0
54.46,0
54.46,0
54.46,0
672.44,0
826.93,0
826.93,0
826.92,0
826.92,0
54.45,0
54.45,0
54.45,0
54.45,0
817.37,0
1008.11,0
1008.09,0
1008.09,0
1008.09,0
1008.09,0
54.43,0
54.43,0
54.43,0
54.43,0
521.5,0
521.5,0
54.31,0
54.31,0
54.31,0
54.31,0
397.65,0
54.43,0
54.43,0
54.43,0
54.43,0
672.4,0
826.9,0
826.9,0
826.9,0
826.9,0
54.43,0
54.43,0
54.43,0
54.43,0
672.4,0
826.9,0
826.9,0
826.9,0
54.43,0
54.43,0
54.43,0
54.43,0
672.4,0
826.9,0
826.9,0
826.9,0
54.43,0
54.43,0
54.43,0
54.43,0
672.4,0
826.9,0
826.9,0
826.9,0
54.43,0
54.43,0
54.43,0
54.43,0
672.4,0
826.9,0
826.9,0
826.92,0
826.92,0
54.45,0
54.45,0
54.45,0
54.45,0
672.43,0
826.92,0
826.92,0
826.92,0
54.45,0
54.45,0
54.45,0
54.45,0
428.18,0
521.64,0
54.45,0
54.45,0
54.45,0
54.45,0
672.43,0
826.92,0
826.92,0
826.92,0
54.45,0
54.45,0
54.45,0
54.45,0
397.67,0
54.45,0
54.45,0
54.45,0
54.45,0
672.43,0
826.92,0
826.92,0
826.92,0
54.45,0
54.45,0
54.45,0
54.45,0
817.37,0
817.37,0
1008.11,0
1008.09,0
1008.09,0
1008.09,0
54.43,0
54.43,0
54.43,0
54.43,0
428.16,0
515.58,0
54.43,0
54.43,0
54.43,0
54.43,0
328.98,0
397.65,0
54.43,0
54.43,0
54.43,0
54.43,0
672.4,0
826.9,0
826.9,0
826.9,0
54.43,0
54.43,0
54.43,0
54.43,0
817.35,0
1008.09,0
1008.09,0
1008.09,0
1008.05,0
1008.05,0
54.39,0
54.39,0
54.39,0
54.39,0
521.58,0
521.58,0
54.31,0
54.31,0
54.31,0
54.31,0
428.04,0
521.5,0
54.31,0
54.31,0
54.31,0
54.31,0
428.04,0
521.5,0
54.31,0
54.31,0
54.31,0
54.31,0
672.29,0
826.78,0
826.78,0
826.78,0
826.78,0
54.31,0
54.31,0
54.31,0
54.31,0
521.5,0
521.5,0
54.31,0
54.31,0
54.31,0
54.31,0
817.23,0
1007.97,0
1007.97,0
1007.97,0
1007.97,0
1007.97,0
54.31,0
54.31,0
54.31,0
54.31,0
521.62,0
521.5,0
54.31,0
54.31,0
54.31,0
54.31,0
521.5,0
521.5,0
54.31,0
54.31,0
54.31,0
