Data,Label
326.43,0
395.09,0
51.88,0
51.88,0
51.88,0
51.88,0
814.83,0
1005.57,0
1005.57,0
1005.57,0
1005.57,0
51.91,0
51.91,0
51.91,0
51.91,0
425.63,0
519.13,0
51.82,0
51.82,0
51.82,0
51.82,0
814.74,0
814.74,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
51.79,0
51.79,0
51.79,0
51.79,0
814.71,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
51.79,0
51.79,0
51.79,0
51.79,0
669.76,0
824.26,0
824.26,0
824.26,0
51.81,0
51.81,0
51.81,0
51.81,0
669.79,0
824.28,0
824.28,0
824.28,0
51.81,0
51.81,0
51.81,0
51.81,0
425.54,0
519.0,0
51.81,0
51.81,0
51.81,0
51.81,0
425.54,0
519.0,0
51.81,0
51.81,0
51.81,0
51.81,0
395.03,0
51.81,0
51.81,0
51.81,0
51.81,0
326.36,0
51.81,0
51.81,0
51.81,0
51.81,0
669.79,0
824.28,0
824.28,0
824.28,0
51.81,0
51.81,0
51.81,0
51.81,0
425.54,0
518.89,0
51.71,0
51.71,0
51.71,0
51.71,0
394.93,0
394.92,0
51.59,0
51.59,0
51.59,0
51.59,0
814.51,0
1005.25,0
1005.25,0
1005.25,0
1005.25,0
51.59,0
51.59,0
51.59,0
51.59,0
814.51,0
1005.25,0
1005.25,0
1005.33,0
1005.33,0
1005.33,0
51.67,0
51.67,0
51.67,0
51.67,0
814.59,0
1005.33,0
1005.33,0
1005.33,0
1005.45,0
51.79,0
51.79,0
51.79,0
51.79,0
425.52,0
518.9,0
51.71,0
51.71,0
51.71,0
51.71,0
425.44,0
518.9,0
51.71,0
51.71,0
51.71,0
51.71,0
669.68,0
824.18,0
824.18,0
824.18,0
51.71,0
51.71,0
51.71,0
51.71,0
425.44,0
518.9,0
51.71,0
51.71,0
51.71,0
51.71,0
814.63,0
1005.37,0
1005.37,0
1005.37,0
1005.37,0
1005.37,0
51.71,0
51.71,0
51.71,0
51.71,0
814.63,0
1005.37,0
1005.37,0
1005.37,0
1005.33,0
51.68,0
51.68,0
51.68,0
51.68,0
669.65,0
824.14,0
824.14,0
824.14,0
51.68,0
51.68,0
51.68,0
51.68,0
814.59,0
1005.33,0
1005.42,0
1005.42,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
669.73,0
824.23,0
824.23,0
758.23,0
51.76,0
51.76,0
51.76,0
814.68,0
868.41,0
1005.42,0
1005.42,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
669.73,0
824.23,0
824.23,0
824.23,0
51.79,0
51.79,0
51.79,0
51.79,0
425.51,0
518.87,0
51.68,0
51.68,0
51.68,0
51.68,0
326.23,0
394.89,0
51.68,0
51.68,0
51.68,0
51.68,0
814.59,0
1005.33,0
1005.33,0
1005.33,0
1005.33,0
51.68,0
51.68,0
51.68,0
51.68,0
814.59,0
862.32,0
1005.33,0
1005.33,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
518.95,0
518.95,0
51.76,0
51.76,0
51.76,0
51.76,0
394.98,0
51.76,0
51.76,0
51.76,0
51.76,0
425.49,0
518.95,0
51.76,0
51.76,0
51.76,0
51.76,0
814.68,0
1005.42,0
1005.42,0
1005.42,0
1005.42,0
51.76,0
51.76,0
51.76,0
51.76,0
669.77,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
669.77,0
824.27,0
824.27,0
824.27,0
51.79,0
51.79,0
51.79,0
51.79,0
326.34,0
51.7,0
51.7,0
51.7,0
51.7,0
326.25,0
394.92,0
51.7,0
51.7,0
51.7,0
51.7,0
394.92,0
51.7,0
51.7,0
51.7,0
51.7,0
394.92,0
394.92,0
51.7,0
51.7,0
51.7,0
51.7,0
394.92,0
51.7,0
51.7,0
51.7,0
51.7,0
394.91,0
394.91,0
51.7,0
51.7,0
51.7,0
51.7,0
669.67,0
824.16,0
824.16,0
824.16,0
51.7,0
51.7,0
51.7,0
51.7,0
669.67,0
824.16,0
824.16,0
824.16,0
51.7,0
51.7,0
51.7,0
51.7,0
814.61,0
1005.35,0
1005.35,0
1005.35,0
1005.35,0
51.7,0
51.7,0
51.7,0
51.7,0
669.67,0
824.16,0
824.16,0
824.16,0
51.8,0
51.8,0
51.8,0
51.8,0
669.78,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
425.53,0
518.99,0
51.8,0
51.8,0
51.8,0
51.8,0
425.53,0
518.99,0
51.8,0
51.8,0
51.8,0
51.8,0
395.02,0
51.8,0
51.8,0
51.8,0
51.8,0
425.53,0
518.99,0
51.8,0
51.8,0
51.8,0
51.8,0
669.78,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
425.53,0
518.78,0
51.59,0
51.59,0
51.59,0
51.59,0
669.57,0
824.06,0
824.06,0
824.06,0
51.59,0
51.59,0
51.59,0
51.59,0
814.51,0
1005.25,0
1005.25,0
1005.25,0
1005.33,0
1005.33,0
51.68,0
51.68,0
51.68,0
51.68,0
669.65,0
824.14,0
824.14,0
824.14,0
51.68,0
51.68,0
51.68,0
51.68,0
394.89,0
51.68,0
51.68,0
51.68,0
51.68,0
814.59,0
1005.33,0
1005.33,0
1005.33,0
814.63,0
1005.33,0
51.68,0
51.68,0
51.68,0
51.68,0
518.86,0
51.68,0
51.68,0
51.68,0
51.68,0
669.65,0
824.14,0
824.14,0
824.14,0
51.84,0
51.84,0
51.84,0
51.84,0
425.56,0
518.89,0
51.7,0
51.7,0
51.7,0
51.7,0
326.25,0
394.81,0
51.59,0
51.59,0
51.59,0
51.59,0
518.78,0
518.79,0
51.6,0
51.6,0
51.6,0
51.6,0
814.63,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
51.8,0
51.8,0
51.8,0
51.8,0
814.71,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
51.8,0
51.8,0
51.8,0
51.8,0
669.77,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
814.71,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
51.8,0
51.8,0
51.8,0
51.8,0
395.02,0
51.8,0
51.8,0
51.8,0
51.8,0
425.52,0
518.98,0
51.8,0
51.8,0
51.8,0
51.8,0
814.71,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
1005.45,0
51.8,0
51.8,0
51.8,0
51.8,0
395.02,0
51.8,0
51.8,0
51.8,0
51.8,0
814.71,0
1005.45,0
1005.45,0
1005.45,0
814.75,0
1005.49,0
51.83,0
51.83,0
51.83,0
51.83,0
814.75,0
1005.57,0
1005.57,0
1005.57,0
1005.57,0
51.91,0
51.91,0
51.91,0
51.91,0
395.13,0
51.91,0
51.91,0
51.91,0
51.91,0
425.64,0
519.1,0
51.83,0
51.83,0
51.83,0
51.83,0
425.56,0
519.02,0
51.83,0
51.83,0
51.83,0
51.83,0
669.8,0
824.29,0
824.29,0
824.29,0
51.82,0
51.82,0
51.82,0
51.82,0
343.83,0
51.82,0
51.82,0
51.82,0
51.82,0
395.04,0
51.82,0
51.82,0
51.82,0
51.82,0
814.74,0
1005.48,0
1005.48,0
852.46,0
1005.48,0
1005.56,0
51.9,0
51.9,0
51.9,0
51.9,0
519.1,0
425.76,0
51.91,0
51.91,0
51.91,0
51.91,0
519.1,0
519.1,0
51.91,0
51.91,0
51.91,0
51.91,0
395.13,0
51.91,0
51.91,0
51.91,0
51.91,0
519.1,0
519.1,0
51.91,0
51.91,0
51.91,0
51.91,0
425.64,0
519.1,0
51.91,0
51.91,0
51.91,0
51.91,0
669.89,0
824.38,0
824.38,0
824.38,0
51.91,0
51.91,0
51.91,0
51.91,0
669.89,0
824.38,0
824.37,0
824.37,0
51.9,0
51.9,0
51.9,0
51.9,0
425.63,0
519.09,0
51.9,0
51.9,0
51.9,0
51.9,0
669.88,0
824.37,0
824.37,0
824.37,0
51.9,0
51.9,0
51.9,0
51.9,0
814.82,0
814.82,0
1005.56,0
1005.56,0
1005.56,0
1005.56,0
51.9,0
51.9,0
51.9,0
51.9,0
814.82,0
1005.56,0
1005.56,0
1005.52,0
1005.52,0
51.87,0
51.87,0
51.87,0
51.87,0
425.59,0
519.05,0
51.87,0
51.87,0
51.87,0
51.87,0
395.09,0
51.87,0
51.87,0
51.87,0
51.87,0
814.79,0
1005.52,0
1005.52,0
1005.52,0
1005.52,0
1005.52,0
51.87,0
51.87,0
51.87,0
51.87,0
518.97,0
518.97,0
51.79,0
51.79,0
51.79,0
51.79,0
669.76,0
824.25,0
824.25,0
824.25,0
51.79,0
51.79,0
51.79,0
51.79,0
395.0,0
51.79,0
51.79,0
51.79,0
51.79,0
518.97,0
518.97,0
51.79,0
51.79,0
51.79,0
51.79,0
669.76,0
824.25,0
824.25,0
824.25,0
51.79,0
51.79,0
51.79,0
51.79,0
394.92,0
51.7,0
51.7,0
51.7,0
51.7,0
326.25,0
394.92,0
51.7,0
51.7,0
51.7,0
51.7,0
518.89,0
516.85,0
51.7,0
51.7,0
51.7,0
51.7,0
394.91,0
51.7,0
51.7,0
51.7,0
51.7,0
669.67,0
824.16,0
824.16,0
824.16,0
51.7,0
51.7,0
51.7,0
51.7,0
425.42,0
518.88,0
51.7,0
51.7,0
51.7,0
51.7,0
425.42,0
518.88,0
51.7,0
51.7,0
51.7,0
51.7,0
669.67,0
824.16,0
824.16,0
669.7,0
51.7,0
51.7,0
51.7,0
51.7,0
814.61,0
1005.44,0
1005.44,0
1005.44,0
1005.44,0
1005.44,0
51.78,0
51.78,0
51.78,0
51.78,0
814.7,0
1005.44,0
1005.52,0
1005.52,0
1005.52,0
51.87,0
51.87,0
51.87,0
51.87,0
425.59,0
519.05,0
51.87,0
51.87,0
51.87,0
51.87,0
669.84,0
824.34,0
824.34,0
824.36,0
51.89,0
51.89,0
51.89,0
51.89,0
326.45,0
395.12,0
51.9,0
51.9,0
51.9,0
51.9,0
395.0,0
51.78,0
51.78,0
51.78,0
51.78,0
425.51,0
518.98,0
51.8,0
51.8,0
51.8,0
51.8,0
425.52,0
518.87,0
51.68,0
51.68,0
51.68,0
51.68,0
669.77,0
824.27,0
824.27,0
824.27,0
51.8,0
51.8,0
51.8,0
51.8,0
425.52,0
518.98,0
51.8,0
51.8,0
51.8,0
51.8,0
669.77,0
824.27,0
824.27,0
824.25,0
51.79,0
51.79,0
51.79,0
51.79,0
669.89,0
824.38,0
824.38,0
824.38,0
51.91,0
51.91,0
51.91,0
51.91,0
814.83,0
1005.57,0
1005.57,0
1005.57,0
1005.57,0
1005.57,0
51.91,0
51.91,0
51.91,0
51.91,0
669.89,0
824.38,0
824.38,0
669.91,0
51.91,0
51.91,0
51.91,0
51.91,0
395.13,0
51.91,0
51.91,0
51.91,0
51.91,0
814.83,0
1005.57,0
1005.57,0
1005.54,0
1005.54,0
51.88,0
51.88,0
51.88,0
51.88,0
669.85,0
824.35,0
824.35,0
824.35,0
51.88,0
51.88,0
51.88,0
51.88,0
814.8,0
1005.5,0
1005.5,0
1005.5,0
1005.5,0
1005.5,0
51.84,0
51.84,0
51.84,0
51.84,0
519.03,0
519.03,0
51.84,0
51.84,0
51.84,0
51.84,0
395.06,0
51.84,0
51.84,0
51.84,0
51.84,0
425.57,0
519.03,0
51.84,0
51.84,0
51.84,0
51.84,0
519.03,0
519.03,0
51.76,0
51.76,0
51.76,0
51.76,0
394.98,0
51.76,0
51.76,0
51.76,0
51.76,0
669.73,0
824.23,0
824.34,0
824.34,0
51.87,0
51.87,0
51.87,0
51.87,0
669.84,0
824.34,0
824.34,0
824.34,0
51.87,0
51.87,0
51.87,0
51.87,0
814.79,0
1005.52,0
1005.52,0
1005.54,0
1005.54,0
1005.54,0
51.88,0
51.88,0
51.88,0
51.88,0
395.1,0
51.88,0
51.88,0
51.88,0
51.88,0
669.85,0
824.35,0
824.35,0
824.35,0
51.88,0
51.88,0
51.88,0
51.88,0
669.85,0
824.35,0
824.35,0
824.37,0
51.9,0
51.9,0
51.9,0
51.9,0
814.82,0
1005.56,0
1005.56,0
934.55,0
1005.56,0
1005.56,0
51.88,0
51.88,0
51.88,0
51.88,0
519.07,0
518.95,0
51.76,0
51.76,0
51.76,0
51.76,0
395.02,0
51.8,0
51.8,0
51.8,0
51.8,0
326.35,0
395.02,0
51.8,0
51.8,0
51.8,0
51.8,0
518.98,0
518.98,0
51.8,0
51.8,0
51.8,0
51.8,0
395.01,0
51.79,0
51.79,0
51.79,0
51.79,0
669.89,0
824.37,0
824.37,0
824.37,0
51.9,0
51.9,0
51.9,0
51.9,0
669.88,0
824.37,0
824.37,0
824.37,0
51.89,0
51.89,0
51.89,0
51.89,0
669.86,0
824.36,0
824.36,0
824.36,0
51.89,0
51.89,0
51.89,0
51.89,0
669.86,0
824.36,0
824.36,0
824.36,0
51.89,0
51.89,0
51.89,0
51.89,0
395.11,0
395.11,0
51.78,0
51.78,0
51.78,0
51.78,0
518.97,0
518.97,0
51.79,0
51.79,0
51.79,0
51.79,0
395.0,0
51.79,0
51.79,0
51.79,0
51.79,0
395.0,0
51.79,0
51.79,0
51.79,0
51.79,0
395.12,0
51.9,0
51.9,0
51.9,0
51.9,0
814.82,0
1002.55,0
1005.56,0
1005.52,0
1005.52,0
1005.52,0
51.87,0
51.87,0
51.87,0
51.87,0
814.79,0
1005.52,0
