timestamp,state,event_type,event_details,cpu_percent
2025-05-26 09:58:37,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.09s",
2025-05-26 09:58:37,idle,SAMPLED_STATE,,71.3
2025-05-26 09:58:38,idle,SAMPLED_STATE,,9.4
2025-05-26 09:58:39,idle,SAMPLED_STATE,,2.3
2025-05-26 09:58:40,idle,SAMPLED_STATE,,2.3
2025-05-26 09:58:41,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-05-26 09:58:41,working_normal,SAMPLED_STATE,,41.3
2025-05-26 09:58:42,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:58:42,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.60s",
2025-05-26 09:58:43,idle,SAMPLED_STATE,,31.0
2025-05-26 09:58:44,idle,SAMPLED_STATE,,4.9
2025-05-26 09:58:45,idle,SAMPLED_STATE,,3.8
2025-05-26 09:58:46,idle,SAMPLED_STATE,,1.8
2025-05-26 09:58:46,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:58:47,working_normal,SAMPLED_STATE,,83.0
2025-05-26 09:58:47,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.30s",
2025-05-26 09:58:48,idle,SAMPLED_STATE,,60.4
2025-05-26 09:58:49,idle,SAMPLED_STATE,,6.9
2025-05-26 09:58:50,idle,SAMPLED_STATE,,2.3
2025-05-26 09:58:51,idle,SAMPLED_STATE,,2.3
2025-05-26 09:58:51,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:58:52,working_normal,SAMPLED_STATE,,56.1
2025-05-26 09:58:53,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:58:54,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.15s",
2025-05-26 09:58:54,idle,SAMPLED_STATE,,62.7
2025-05-26 09:58:55,idle,SAMPLED_STATE,,8.7
2025-05-26 09:58:56,idle,SAMPLED_STATE,,2.8
2025-05-26 09:58:57,idle,SAMPLED_STATE,,3.6
2025-05-26 09:58:58,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-05-26 09:58:58,working_normal,SAMPLED_STATE,,45.6
2025-05-26 09:58:59,working_normal,SAMPLED_STATE,,99.8
2025-05-26 09:58:59,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.78s",
2025-05-26 09:59:00,idle,SAMPLED_STATE,,41.2
2025-05-26 09:59:01,idle,SAMPLED_STATE,,5.5
2025-05-26 09:59:02,idle,SAMPLED_STATE,,3.6
2025-05-26 09:59:03,idle,SAMPLED_STATE,,2.8
2025-05-26 09:59:03,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-05-26 09:59:04,working_normal,SAMPLED_STATE,,71.0
2025-05-26 09:59:05,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.52s",
2025-05-26 09:59:05,idle,SAMPLED_STATE,,86.7
2025-05-26 09:59:06,idle,SAMPLED_STATE,,8.6
2025-05-26 09:59:07,idle,SAMPLED_STATE,,3.9
2025-05-26 09:59:08,idle,SAMPLED_STATE,,2.6
2025-05-26 09:59:09,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-05-26 09:59:09,working_normal,SAMPLED_STATE,,30.4
2025-05-26 09:59:10,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:59:10,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.50s",
2025-05-26 09:59:11,idle,SAMPLED_STATE,,29.2
2025-05-26 09:59:12,idle,SAMPLED_STATE,,6.1
2025-05-26 09:59:13,idle,SAMPLED_STATE,,2.8
2025-05-26 09:59:14,idle,SAMPLED_STATE,,2.5
2025-05-26 09:59:14,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:59:15,working_normal,SAMPLED_STATE,,83.0
2025-05-26 09:59:16,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:59:16,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.05s",
2025-05-26 09:59:17,idle,SAMPLED_STATE,,30.5
2025-05-26 09:59:18,idle,SAMPLED_STATE,,5.2
2025-05-26 09:59:19,idle,SAMPLED_STATE,,2.3
2025-05-26 09:59:20,idle,SAMPLED_STATE,,2.5
2025-05-26 09:59:20,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:59:21,working_normal,SAMPLED_STATE,,82.3
2025-05-26 09:59:22,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:59:23,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.03s",
2025-05-26 09:59:23,idle,SAMPLED_STATE,,29.2
2025-05-26 09:59:24,idle,SAMPLED_STATE,,4.9
2025-05-26 09:59:25,idle,SAMPLED_STATE,,2.5
2025-05-26 09:59:26,idle,SAMPLED_STATE,,2.8
2025-05-26 09:59:27,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:59:27,working_normal,SAMPLED_STATE,,83.7
2025-05-26 09:59:28,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.30s",
2025-05-26 09:59:28,idle,SAMPLED_STATE,,54.7
2025-05-26 09:59:29,idle,SAMPLED_STATE,,6.3
2025-05-26 09:59:30,idle,SAMPLED_STATE,,3.0
2025-05-26 09:59:31,idle,SAMPLED_STATE,,2.0
2025-05-26 09:59:32,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:59:32,working_normal,SAMPLED_STATE,,54.8
2025-05-26 09:59:33,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:59:34,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.16s",
2025-05-26 09:59:34,idle,SAMPLED_STATE,,63.1
2025-05-26 09:59:35,idle,SAMPLED_STATE,,8.5
2025-05-26 09:59:36,idle,SAMPLED_STATE,,2.0
2025-05-26 09:59:37,idle,SAMPLED_STATE,,4.1
2025-05-26 09:59:38,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:59:38,working_normal,SAMPLED_STATE,,46.1
2025-05-26 09:59:39,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.25s",
2025-05-26 09:59:39,idle,SAMPLED_STATE,,85.6
2025-05-26 09:59:40,idle,SAMPLED_STATE,,7.9
2025-05-26 09:59:41,idle,SAMPLED_STATE,,3.3
2025-05-26 09:59:42,idle,SAMPLED_STATE,,3.6
2025-05-26 09:59:43,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:59:44,working_normal,SAMPLED_STATE,,30.5
2025-05-26 09:59:45,working_normal,SAMPLED_STATE,,99.7
2025-05-26 09:59:45,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.41s",
2025-05-26 09:59:46,idle,SAMPLED_STATE,,26.6
2025-05-26 09:59:47,idle,SAMPLED_STATE,,5.5
2025-05-26 09:59:48,idle,SAMPLED_STATE,,3.9
2025-05-26 09:59:49,idle,SAMPLED_STATE,,3.1
2025-05-26 09:59:49,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-05-26 09:59:50,working_normal,SAMPLED_STATE,,92.5
2025-05-26 09:59:50,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.73s",
2025-05-26 09:59:51,idle,SAMPLED_STATE,,84.5
2025-05-26 09:59:52,idle,SAMPLED_STATE,,8.6
