Data,Label
817.47,0
1008.18,0
1008.18,0
1008.18,0
1008.18,0
1008.18,0
1008.18,0
51.52,0
51.52,0
51.52,0
51.52,0
397.66,0
51.56,0
51.56,0
51.56,0
51.56,0
428.29,0
521.75,0
521.75,0
51.56,0
51.56,0
51.56,0
51.56,0
397.66,0
397.54,0
51.32,0
51.32,0
51.32,0
51.32,0
672.29,0
826.79,0
826.89,0
826.89,0
826.89,0
51.43,0
51.43,0
51.43,0
51.43,0
817.46,0
1008.2,0
1008.2,0
1008.18,0
1008.18,0
1008.18,0
1008.18,0
51.53,0
51.53,0
51.53,0
51.53,0
397.75,0
397.66,0
51.44,0
51.44,0
51.44,0
51.44,0
672.41,0
826.91,0
826.91,0
826.91,0
827.02,0
51.55,0
51.55,0
51.55,0
51.55,0
817.47,0
817.47,0
1008.21,0
1008.17,0
1008.17,0
1008.17,0
1008.18,0
1008.18,0
51.49,0
51.49,0
51.49,0
51.49,0
817.41,0
1008.15,0
1008.15,0
1008.11,0
1008.11,0
1008.11,0
1008.11,0
51.46,0
51.46,0
51.46,0
51.46,0
397.62,0
51.41,0
51.41,0
51.41,0
51.41,0
672.38,0
826.9,0
827.01,0
827.01,0
827.0,0
51.53,0
51.53,0
51.53,0
51.53,0
428.26,0
521.51,0
521.4,0
51.21,0
51.21,0
51.21,0
51.21,0
672.3,0
826.8,0
826.8,0
826.8,0
826.8,0
51.33,0
51.33,0
51.33,0
51.33,0
521.75,0
521.64,0
51.45,0
51.45,0
51.45,0
51.45,0
672.42,0
826.91,0
826.91,0
826.91,0
826.91,0
51.43,0
51.43,0
51.43,0
51.43,0
817.34,0
817.34,0
1008.08,0
1008.06,0
1008.06,0
1008.06,0
1008.06,0
51.52,0
51.52,0
51.52,0
51.52,0
672.52,0
827.02,0
827.01,0
827.01,0
827.01,0
51.53,0
51.53,0
51.53,0
51.53,0
428.26,0
521.61,0
521.51,0
51.32,0
51.32,0
51.32,0
51.32,0
397.54,0
51.32,0
51.32,0
51.32,0
51.32,0
817.23,0
817.23,0
1007.97,0
1008.06,0
1008.06,0
1008.06,0
1008.06,0
51.4,0
51.4,0
51.4,0
51.4,0
428.13,0
521.51,0
521.51,0
51.32,0
51.32,0
51.32,0
51.32,0
672.29,0
826.89,0
826.89,0
826.89,0
826.89,0
51.43,0
51.43,0
51.43,0
51.43,0
672.4,0
826.89,0
826.89,0
826.89,0
826.89,0
51.43,0
51.43,0
51.43,0
51.43,0
672.4,0
826.89,0
827.0,0
827.0,0
827.0,0
51.53,0
51.53,0
51.53,0
51.53,0
329.08,0
397.75,0
51.42,0
51.42,0
51.42,0
51.42,0
672.39,0
826.89,0
826.89,0
826.89,0
826.89,0
51.42,0
51.42,0
51.42,0
51.42,0
817.34,0
817.34,0
1008.08,0
1008.16,0
1008.16,0
1008.14,0
1008.14,0
1008.14,0
51.48,0
51.48,0
51.48,0
51.48,0
817.4,0
1008.14,0
1008.14,0
1008.14,0
1008.14,0
1008.14,0
1008.14,0
51.48,0
51.48,0
51.48,0
51.48,0
521.68,0
521.68,0
51.41,0
51.41,0
51.41,0
51.41,0
428.14,0
