timestamp,state,event_type,event_details,ram_usage_mb
2025-06-04 15:57:56,working_normal,SAMPLED_STATE,,672.41
2025-06-04 15:57:57,working_normal,SAMPLED_STATE,,826.91
2025-06-04 15:57:58,working_normal,SAMPLED_STATE,,826.91
2025-06-04 15:57:59,working_normal,SAMPLED_STATE,,826.91
2025-06-04 15:58:00,working_normal,SAMPLED_STATE,,827.02
2025-06-04 15:58:01,working_normal,WORKLOAD_END,"type:normal,size:4500,duration:5.65s",
2025-06-04 15:58:01,idle,SAMPLED_STATE,,54.55
2025-06-04 15:58:02,idle,SAMPLED_STATE,,54.55
2025-06-04 15:58:03,idle,SAMPLED_STATE,,54.55
2025-06-04 15:58:04,idle,SAMPLED_STATE,,54.55
2025-06-04 15:58:05,working_normal,WORKLOAD_START,"type:normal,size:5000",
2025-06-04 15:58:05,working_normal,SAMPLED_STATE,,817.47
2025-06-04 15:58:06,working_normal,SAMPLED_STATE,,817.47
2025-06-04 15:58:07,working_normal,SAMPLED_STATE,,1008.21
2025-06-04 15:58:08,working_normal,SAMPLED_STATE,,1008.17
2025-06-04 15:58:09,working_normal,SAMPLED_STATE,,1008.17
2025-06-04 15:58:10,working_normal,SAMPLED_STATE,,1008.17
2025-06-04 15:58:11,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:58:12,working_normal,SAMPLED_STATE,,1008.18
2025-06-04 15:58:12,working_normal,WORKLOAD_END,"type:normal,size:5000,duration:7.49s",
2025-06-04 15:58:13,idle,SAMPLED_STATE,,54.49
2025-06-04 15:58:14,idle,SAMPLED_STATE,,54.49
2025-06-04 15:58:15,idle,SAMPLED_STATE,,54.49
2025-06-04 15:58:16,idle,SAMPLED_STATE,,54.49
2025-06-04 15:58:16,working_normal,WORKLOAD_START,"type:normal,size:5000",
2025-06-04 15:58:17,working_normal,SAMPLED_STATE,,817.41
2025-06-04 15:58:18,working_normal,SAMPLED_STATE,,1008.15
2025-06-04 15:58:19,working_normal,SAMPLED_STATE,,1008.15
2025-06-04 15:58:20,working_normal,SAMPLED_STATE,,1008.11
2025-06-04 15:58:21,working_normal,SAMPLED_STATE,,1008.11
2025-06-04 15:58:22,working_normal,SAMPLED_STATE,,1008.11
2025-06-04 15:58:23,working_normal,SAMPLED_STATE,,1008.11
2025-06-04 15:58:23,working_normal,WORKLOAD_END,"type:normal,size:5000,duration:7.22s",
