file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_CPU1_id_1_Hardware_tr_1150_1st_1196.csv,1.2671074867248535,0.03235800897320642,0.5483954028452447,0.32509004749335024,0.6428449194189025,0.11110632833088374,0.1111111111111111,0.11401425178147222,0.16674430792523148,0.6679085475474379
002_CPU1_id_02_Hardware_tr_982_1st_984.csv,2.4615581035614014,0.9670174345881047,0.9947216018858227,0.9727765117481508,0.9980661297303602,0.9220133490718029,1.0,0.9999999999999996,0.9018476315300424,0.9981574326705976
003_CPU1_id_03_Hardware_tr_1169_1st_1172.csv,1.9264953136444092,0.8839963586036553,0.996821784136111,0.930695642547311,0.9984926612679154,0.8079046174778779,0.9142857142857143,0.8942701227830827,0.8257787876198279,0.9888090520968139
001_CPU1_id_1_Hardware_tr_1150_1st_1196.csv,0.3817455768585205,0.023589683797613628,0.5880683928279632,0.29008575893410354,0.6719216208197673,0.06756756756756756,0.06756756756756757,0.061538461538461105,0.06341463414634148,0.20044550169817088
002_CPU1_id_02_Hardware_tr_982_1st_984.csv,2.1902711391448975,0.9552443814203266,0.9914493273781039,0.9619704506199883,0.9969092098265266,0.8986175115207372,0.9494505494505494,0.9440389294403888,0.8743179380589293,0.9928583523519143
003_CPU1_id_03_Hardware_tr_1169_1st_1172.csv,1.6125471591949463,0.8958611762791789,0.9973047436511739,0.9529431143765311,0.9990047355393199,0.8369565217391305,0.8795811518324608,0.8693181818181812,0.8477755940682509,0.9899166466173651
005_CPU2_id_05_Hardware_tr_2000_1st_2015.csv,1.5531771183013916,0.4896438483993199,0.9957621114161722,0.7374767425650952,0.9981295288992086,0.5346489364171503,0.6481481481481481,0.5777777777777773,0.6346127946127947,0.9951509590388229
006_CPU2_id_06_Hardware_tr_2000_1st_2012.csv,1.9834206104278564,0.8869876174105171,0.9956289868031327,0.9093770402917255,0.9983219305634715,0.8262548262548263,0.8740740740740741,0.8617886178861783,0.8221114272991213,0.9975008770256084
007_CPU3_id_07_Hardware_tr_1500_1st_1559.csv,1.5260121822357178,0.8841005261970284,0.9971342264493088,0.9150516535911638,0.9984807772248506,0.7840531561461794,0.8526645768025078,0.8327402135231311,0.8312851995440075,0.9803512287111156
007_CPU3_id_07_Hardware_tr_1500_1st_1559.csv,1.7614436149597168,0.8516611575590413,0.9850861698349501,0.944327777028468,0.9970873867733587,0.8287671232876713,0.8859934853420195,0.8727272727272721,0.8606717042532271,0.9952983569613253
008_CPU3_id_08_Hardware_tr_1500_1st_1814.csv,2.056321859359741,0.5560759842378258,0.9422646355977177,0.514575245459593,0.9654480488612052,0.5562913907284768,0.620253164556962,0.5602049530315965,0.5241026382117796,0.5916406525940677
010_RAMspike_10_Hardware_tr_1200_1st_1210.csv,1.6516695022583008,0.061409026739300474,0.8385392640711791,0.07428393334606839,0.8611624477975411,0.14799154334038056,0.3440453686200378,0.16385542168674683,0.17426514495614873,0.8009643777921333
011_RAMsleep_11_Hardware_tr_1200_1st_1324.csv,1.6055376529693604,0.505197009634817,0.93705810504275,0.4224507312592442,0.9486500559176544,0.48677248677248675,0.7174887892376681,0.6434316353887394,0.46667939660110747,0.8200436199945275
012_RAMmedium_12_Hardware_tr_1200_1st_1237.csv,1.8236863613128662,0.011522317244550297,0.6955341920818336,0.020331432424486748,0.72907039914305,0.032191069574247146,0.03321224701608718,0.031222896790980018,0.038680046326490525,0.7208500733759245
013_RAMmixed_13_Hardware_tr_2000_1st_2083.csv,2.558051347732544,0.042039270962481515,0.6927872912365566,0.05485751649203167,0.7197636892261737,0.08363201911589009,0.10923379174852653,0.08449788755281108,0.0899137977419223,0.6745056785526615
