Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,11.434834241867064,0.0314278637654037,0.5013266058317433,0.0274584419328978,0.5025372605170476,0.0416666666666666,0.2484472049689441,0.1081081081081076,0.0589473684210526,0.6234685105034444
AutoEncoder,1.600132703781128,0.0746803053095458,0.8634673777380373,0.1088702195877491,0.8801035263813857,0.1654846335697399,0.2242562929061785,0.1763485477178419,0.1253435645460092,0.7493598068555997
CNN,2.367936611175537,0.017574856981663,0.5252214779746176,0.0244304368268478,0.6083365404876909,0.0440265013891857,0.0502769492969748,0.0437580437580437,0.0278691231382685,0.6687164676693786
FFT,0.0202620029449462,0.0181902266070602,0.1533207724917569,0.0233973140469307,0.2597353526104013,0.0357305071915215,0.0,0.0,0.0,0.6316611756822726
FITS,1.9818744659423828,0.0131723820174472,0.3685342934925792,0.0172489142380772,0.4322030065530808,0.0358172712095917,0.0358172712095917,0.0355245179899802,0.0334057467292021,0.6670736624735875
IForest,0.3464462757110595,0.0149192986464207,0.3893528239273388,0.0186625991266407,0.4177747218174656,0.0358281463488689,0.0358281463488689,0.0355353075170842,0.0307002903912739,0.6674846293444662
KMeansAD_U,0.203484296798706,0.924171502718709,0.9983966298623363,0.9513279323592416,0.99928006470887,0.8412017167381974,0.932806324110672,0.9194312796208524,0.8406584806521626,0.9957660033138116
KShapeAD,51.59345197677612,0.973919536121598,0.9994664303525284,0.9868270615177543,0.999824107510483,0.923076923076923,0.9672131147540984,0.9639639639639632,0.9320301969087303,0.9987962790743552
Left_STAMPi,6.796594858169556,0.0449454784208953,0.7789451554271086,0.0651366890698947,0.7634246580812228,0.1031968592260235,0.1200667037242912,0.1032171581769435,0.0715405894277201,0.8142923346374081
LOF,0.0304141044616699,0.0362621030667396,0.5104066040221305,0.0335795694651539,0.5803604813015752,0.0839694656488549,0.4027303754266211,0.1258741258741256,0.0896223018992901,0.6483419346925077
LSTMAD,1.7212824821472168,0.643974603463434,0.8225102522546976,0.6575748570265912,0.9166245140618628,0.7282051282051282,0.975206611570248,0.9589041095890404,0.7100130039011704,0.969891843873884
M2N2,0.7120532989501953,0.0163078974587242,0.4916125778732259,0.0222833754645911,0.5765516153381963,0.0419000207425845,0.048780487804878,0.0416493127863389,0.0291353675051036,0.6681282628476808
MatrixProfile,29.99915337562561,0.2574125054455843,0.8865712095930767,0.3444011392903419,0.95319984493783,0.3930131004366812,0.6470588235294118,0.5217391304347823,0.36603092130275,0.8156985165718463
MOMENT_ZS,5.927757501602173,0.0128570748944214,0.3514188162471293,0.0159656446644798,0.4115537378606145,0.0364450127877237,0.0376996805111821,0.0361599999999999,0.0393213028143419,0.6634123104708041
OmniAnomaly,0.9729347229003906,0.0521904050753075,0.7807973473205756,0.0615691085033121,0.817041171037037,0.1178294573643411,0.2780141843971631,0.1297335203366057,0.0657305682174616,0.69650504081544
POLY,0.96378755569458,0.0116873975958832,0.2250705882039859,0.0161189163247366,0.2401056576720578,0.0387647831800262,0.038783894823336,0.0362497940352611,0.0148393778296721,0.6736364436260184
SAND,1.9834206104278564,0.8869876174105171,0.9956289868031328,0.9093770402917256,0.9983219305634716,0.8262548262548263,0.8740740740740741,0.8617886178861783,0.8221114272991213,0.9975008770256084
SR,0.0059986114501953,0.3021251205353126,0.8136790758201138,0.3615813866784721,0.8966636947668611,0.3434343434343435,0.8368794326241135,0.5892857142857139,0.3315013218310839,0.8497304398200165
Sub_HBOS,2.1488077640533447,0.1958102597694504,0.9141990733718144,0.2216485952390943,0.9373050463608537,0.3389830508474576,0.624561403508772,0.4615384615384611,0.2565880359702854,0.8158131761244769
Sub_IForest,0.5291204452514648,0.0106132339352822,0.2138736091928328,0.0146741401442104,0.2724193143907579,0.0357575757575757,0.0357575757575757,0.0354652925128826,0.0359015354494007,0.6673148928738755
Sub_KNN,0.0578866004943847,0.940304862671305,0.9985762605416596,0.9683172990044568,0.9994943135568858,0.860986547085202,0.963265306122449,0.9547738693467333,0.8301252599813183,0.9984222083140166
Sub_LOF,0.1358261108398437,0.4153198395759684,0.9866434610440932,0.5989369932474428,0.992584919527006,0.5837837837837837,0.6210526315789474,0.5977653631284912,0.5019754326965534,0.9409773178357038
Sub_MCD,0.2300171852111816,0.8142511243018854,0.996660199962211,0.9084885078109606,0.9986693402518024,0.7716535433070865,0.8613138686131386,0.8362068965517236,0.6944611831467731,0.991629217067105
Sub_OCSVM,0.3913388252258301,0.6548527877935448,0.9879274877518488,0.7215087285927025,0.9933947016764404,0.6292134831460674,0.7422680412371134,0.6958841463414629,0.3835014811443184,0.9283428600723436
Sub_PCA,0.0077040195465087,0.0095972973119895,0.0831011440478376,0.0128878450728905,0.1643358989220662,0.0357305071915215,0.0357305071915215,0.0354384370740572,0.0053809845720165,0.6672163860568051
TranAD,7.163224697113037,0.0250389952964432,0.55833206926559,0.0311441611396746,0.6655175286746448,0.0475799835931091,0.1804281345565749,0.0496453900709219,0.0420572538033919,0.665315681415112
USAD,0.68170166015625,0.0229079843271471,0.503180128322835,0.0280551306792962,0.6063459148675588,0.0416233090530697,0.1903846153846153,0.0439407955596669,0.0431244388579637,0.6676483732354841
