Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
KMeansAD_U,0.1242384910583496,0.8261302906890989,0.9956458292716068,0.8941767389457322,0.9974118314866524,0.8253968253968255,0.9094736842105264,0.8938271604938266,0.8359816334516524,0.9939255760864816
KShapeAD,51.52572774887085,0.9997872222551656,0.9999926150428624,0.9989524968460644,0.9999803597803634,0.9930665935853294,1.0,0.9999999999999996,0.9930555555555556,0.9999520742055682
KShapeAD,1.8992338180541992,0.9997872222551656,0.9999926150428624,0.9989524968460642,0.9999803597803634,0.9930715935334872,0.9953917050691244,0.9953488372093018,0.9922406303364392,0.9998521061137
Left_STAMPi,9.594441175460815,0.1082316513143653,0.7932167691698718,0.1102353678072852,0.7707339535388574,0.1649900441565995,0.1838565022421524,0.1647940074906365,0.1621763842893868,0.8513463627837768
Left_STAMPi,4.115349531173706,0.1082316513143653,0.7932167691698718,0.1102353678072852,0.7707339535388574,0.1649920676890534,0.1803880440482433,0.1658255227108866,0.1135738560990558,0.850751091512218
LOF,0.0285315513610839,0.0322139524170887,0.4574788937925004,0.0416918110445912,0.5029807406259467,0.0673309309331463,0.1379310344827586,0.0645933014354066,0.0291734197730956,0.6678570651170087
LOF,0.0264942646026611,0.0322139524170887,0.4574788937925004,0.0416918110445912,0.5029807406259467,0.0673316708229426,0.1547299885101493,0.0402026316215384,0.0494907462356821,0.6560158253710805
LSTMAD,0.4777677059173584,0.6184541698324846,0.800790411962449,0.6146827748105326,0.8522009367991671,0.7062268513714715,0.9953917050691244,0.991228070175438,0.7422324510932105,0.9933599088482856
LSTMAD,1.549488544464111,0.6213499338365273,0.8419331159201953,0.6130710509379266,0.8733091091561394,0.628428927680798,0.879837067209776,0.8090614886731387,0.4887416390573231,0.973525858155246
M2N2,2.2062501907348637,0.1726090043982225,0.7905947401381282,0.1597813910147385,0.8327060596245393,0.3013327021191902,0.6520787746170679,0.3547671840354763,0.2003716261517537,0.7546047818779712
M2N2,0.682379961013794,0.123681015873431,0.7668273633339833,0.1313349538851018,0.8143120969251469,0.2485089463220676,0.3956043956043956,0.2699115044247785,0.0994137285465225,0.7353400488142794
MatrixProfile,30.75090169906616,0.0716705134088724,0.3779443824108044,0.0502428100250876,0.4668325870934635,0.0920561034725884,0.3296703296703296,0.2941176470588232,0.1152402856796998,0.6923336246161197
MatrixProfile,0.0387711524963378,0.0716705134088724,0.3779443824108044,0.0502428100250876,0.4668325870934635,0.0920598388952819,0.2747138397502601,0.1091163441361621,0.1003262134049345,0.70060994561365
MOMENT_ZS,5.287076473236084,0.1336807715108419,0.773274430915203,0.1391450598986811,0.8107055844228332,0.2121535068402581,0.5641952983725136,0.3064516129032255,0.20978783555705,0.858901919430022
MOMENT_ZS,3.794264793395996,0.1174089191030851,0.7483734631904195,0.1323625269679103,0.7836158546474306,0.2053231939163498,0.4125560538116592,0.2406738868832729,0.1613189443675236,0.8308759961027422
