Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,12.88826608657837,0.0053954061970094,0.4840359578425294,0.0152685422182831,0.4961275998100887,0.0107327972651704,0.0,0.0,0.0,0.6450710861636322
AutoEncoder,1.8554320335388184,0.0206484791962577,0.844066070321495,0.0581580517921666,0.8904714574241582,0.0629897499191282,0.0856031128404669,0.0615384615384613,0.0667211821246682,0.8332647635930555
CNN,2.739377975463867,0.0054447217147604,0.5310778496147374,0.0104237297314421,0.6571769413240341,0.0135993212067926,0.0285996055226824,0.0134636264929424,0.0118815348441642,0.6779215548000699
FFT,0.0172171592712402,0.0053954061970094,0.1577805331680099,0.0122992297628285,0.1758209561098135,0.0107327972651704,0.0,0.0,0.0,0.6816393890021042
FITS,2.257859945297241,0.003531578796524,0.2898547515720485,0.0074837366584336,0.4680349319650531,0.0107641555857937,0.013001485884101,0.010734549915657,0.0170607058925099,0.6667272182636201
IForest,0.2592809200286865,0.0043471904891857,0.3998228677707909,0.0088991684428104,0.487603120267988,0.0110165728458863,0.0235602094240837,0.0110045590315987,0.0306867340412349,0.6682501563735131
KMeansAD_U,0.1871998310089111,0.6175883531528659,0.9963245062439112,0.7602263846777181,0.9979224989604336,0.567896326821867,0.611764705882353,0.5922746781115875,0.6412788109181822,0.99165224457086
KShapeAD,46.60195374488831,0.700191687244008,0.9978079886635371,0.8422110443142925,0.9990292248567476,0.6666616889260559,0.7837837837837838,0.7473309608540919,0.7039957939011566,0.995368920989352
Left_STAMPi,6.318455457687378,0.0141712887437326,0.7763284917190683,0.0325308972434247,0.7712462189336814,0.0350187975149656,0.0409756097560975,0.0335008375209379,0.0606060606060606,0.8148429666105088
LOF,0.0298492908477783,0.0301898558941215,0.5887986006553891,0.0294794644076359,0.6834763225093826,0.0909058368933384,0.25,0.19047619047619,0.1152263374485596,0.6668124290986601
LSTMAD,1.8084969520568848,0.5004135077178625,0.97490036312107,0.7766680758819445,0.9942235039738792,0.5640976167429301,0.8205128205128205,0.7199999999999993,0.5704099821746881,0.995046889898589
M2N2,0.8593389987945557,0.0059043570506788,0.5700425117350101,0.009647435507053,0.6596496927316231,0.0159269928830267,0.0246013667425968,0.0155512357678422,0.0123177176461238,0.6711158018691759
MatrixProfile,26.985564947128296,0.1107923738233996,0.8713222920910461,0.2608054519668609,0.9569645821624364,0.2727224820056428,0.4742268041237113,0.333333333333333,0.3983371126228269,0.8211148265445499
MOMENT_ZS,5.476579666137695,0.0037246322119034,0.3262952794260915,0.0069827806378535,0.4709827750174624,0.0109118166525483,0.0156424581005586,0.0108983341117857,0.0226767267880508,0.666665643225115
OmniAnomaly,1.1990852355957031,0.0233545075870438,0.8521034452218581,0.0501473344978891,0.9002825558400649,0.0699690129592815,0.1030042918454935,0.0720720720720719,0.0365535248041775,0.6959344930273909
POLY,0.7148184776306152,0.0032738553089114,0.1465149233903108,0.0070139590911017,0.2153505485933604,0.0116568366505998,0.0116569525395503,0.0116569525395503,0.0141859792638412,0.6760301561848743
SAND,1.5531771183013916,0.4896438483993199,0.9957621114161722,0.7374767425650952,0.9981295288992086,0.5346489364171503,0.6481481481481481,0.5777777777777773,0.6346127946127947,0.9951509590388228
SR,0.0045058727264404,0.6287972572436967,0.8777699052342574,0.5866898911952785,0.9701759648133608,0.6666618055910009,0.9090909090909092,0.9090909090909084,0.6861313868613139,0.9825060857225548
Sub_HBOS,1.9295833110809328,0.1080229223452563,0.9603400938800816,0.2178930962544899,0.9792016711274106,0.2535174122742215,0.4210526315789473,0.2748091603053432,0.222543352601156,0.8236853793732128
Sub_IForest,0.4299111366271972,0.0030105333278706,0.1519218846869188,0.0060077079191436,0.2466978040613371,0.0107426801361111,0.0107791807822605,0.0107411385606874,0.1157771954819983,0.666925466612715
Sub_KNN,0.0513086318969726,0.5385322540911969,0.9962226552121158,0.7655870592874655,0.998168741781443,0.5636320248267883,0.5714285714285714,0.5645695364238406,0.590366687383468,0.993659479153538
Sub_LOF,0.1185226440429687,0.1914555479583756,0.9846249225046496,0.3543575876911876,0.9901046478891644,0.3636317927316738,0.449438202247191,0.3913043478260866,0.3772981614708234,0.9570965453532528
Sub_MCD,0.226489782333374,0.425380725552188,0.993034275086352,0.6139258564557445,0.9969409963905516,0.4122098246394945,0.6764705882352942,0.571428571428571,0.5141907198291084,0.992593669197207
Sub_OCSVM,0.3518621921539306,0.376827944139814,0.9927508635196174,0.5849941493684372,0.9953405451393698,0.4615335141884696,0.5227272727272727,0.4917355371900821,0.4085083583369052,0.9289186216331028
Sub_PCA,0.0070393085479736,0.0028231546279252,0.0392790718271189,0.0046315523912085,0.1060518943752786,0.0107327972651704,0.0109924623115577,0.0104294478527607,0.154307024670649,0.6666527059526307
TranAD,8.337522745132446,0.0079474410543987,0.6736781507395271,0.0160870008044142,0.7688644035749395,0.0206438109517446,0.0454545454545454,0.020678246484698,0.0198186801602361,0.6736293328648683
USAD,0.877140998840332,0.0067623116385388,0.5548135683287574,0.0158801124011277,0.7124225072995238,0.0208945322367186,0.0585651537335285,0.0216383307573415,0.0217829031667581,0.6777259618797818
