file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_CPU1_id_1_Hardware_tr_1150_1st_1196.csv,0.21387791633605957,0.4191985516762196,0.9792127793375621,0.9140837089355883,0.996293044109822,0.48648175041133745,0.5323741007194245,0.5055165496489463,0.5351115961567269,0.9169696794607005
002_CPU1_id_02_Hardware_tr_982_1st_984.csv,0.28220462799072266,0.9512736799112275,0.9992600272948016,0.9803422976567389,0.9996558409099701,0.9525909399036121,0.993103448275862,0.9889298892988925,0.953078998038011,0.9989864472857716
003_CPU1_id_03_Hardware_tr_1169_1st_1172.csv,0.17004132270812988,0.6405683012982214,0.9933060670363018,0.8213425582432952,0.9962466406459404,0.7906927612828574,0.8586666666666667,0.8259587020648963,0.8320802363430227,0.9902678240830143
001_CPU1_id_1_Hardware_tr_1150_1st_1196.csv,0.16212892532348633,0.4191985516762196,0.9792127793375621,0.9140837089355883,0.996293044109822,0.48648648648648646,0.5263157894736842,0.4999999999999995,0.5079093865402635,0.7997135308769611
002_CPU1_id_02_Hardware_tr_982_1st_984.csv,0.12423849105834961,0.8261302906890989,0.9956458292716069,0.8941767389457322,0.9974118314866525,0.8253968253968255,0.9094736842105263,0.8938271604938266,0.8359816334516524,0.9939255760864815
003_CPU1_id_03_Hardware_tr_1169_1st_1172.csv,0.14443612098693848,0.7194843349414022,0.9951979753728676,0.8837124916020648,0.9977318252278246,0.8146214099216711,0.850632911392405,0.8401084010840103,0.8488627434876465,0.9916303134781402
005_CPU2_id_05_Hardware_tr_2000_1st_2015.csv,0.18719983100891113,0.6175883531528659,0.9963245062439111,0.7602263846777181,0.9979224989604335,0.567896326821867,0.611764705882353,0.5922746781115875,0.6412788109181822,0.9916522445708599
006_CPU2_id_06_Hardware_tr_2000_1st_2012.csv,0.20348429679870605,0.924171502718709,0.9983966298623365,0.9513279323592417,0.9992800647088701,0.8412017167381974,0.932806324110672,0.9194312796208525,0.8406584806521626,0.9957660033138115
007_CPU3_id_07_Hardware_tr_1500_1st_1559.csv,0.15860199928283691,0.5478054149606899,0.9896899228392205,0.7195223212093028,0.9929965240067374,0.6097560975609755,0.6153846153846154,0.6625966625966621,0.7013005294010997,0.772658279044741
007_CPU3_id_07_Hardware_tr_1500_1st_1559.csv,0.14599823951721191,0.5540769527736521,0.9897311164694667,0.722761599235702,0.9931760201691772,0.6029411764705882,0.6460807600950119,0.6208651399491089,0.6872569139531307,0.9750300693901355
008_CPU3_id_08_Hardware_tr_1500_1st_1814.csv,0.21317195892333984,0.3575516222194501,0.9723334369593001,0.4893046955669007,0.9803833736204888,0.4187192118226601,0.4492753623188406,0.4278438030560268,0.48741510195816595,0.9361667405326772
010_RAMspike_10_Hardware_tr_1200_1st_1210.csv,0.20152974128723145,0.12113545368289033,0.9173728322664494,0.14325785265395916,0.9021747846086811,0.2456140350877193,0.2558139534883721,0.25157232704402466,0.10043324143363529,0.4907823460805962
011_RAMsleep_11_Hardware_tr_1200_1st_1324.csv,0.10057187080383301,0.06286655209615939,0.6213662537079043,0.048518648499126064,0.5825307718686782,0.13333333333333333,0.16393442622950818,0.1418439716312052,0.12319063751154913,0.5125619596112582
012_RAMmedium_12_Hardware_tr_1200_1st_1237.csv,0.1137542724609375,0.01747495071735565,0.5914046220875165,0.022854784878350187,0.5410694593926466,0.11009174311926605,0.11009174311926606,0.10471204188481635,0.136532942541369,0.3936545827839074
013_RAMmixed_13_Hardware_tr_2000_1st_2083.csv,0.23052000999450684,0.024330780345644794,0.5499857465151343,0.03363651625080875,0.4480844336744732,0.06903163950143816,0.07640878701050621,0.06404391582799598,0.12504908123886996,0.2876568015928246
