timestamp,state,event_type,event_details,cpu_percent
2025-05-26 09:34:41,idle,SAMPLED_STATE,,0.0
2025-05-26 09:34:41,idle,SCRIPT_START,,
2025-05-26 09:34:41,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:34:43,working_normal,SAMPLED_STATE,,34.1
2025-05-26 09:34:44,working_normal,SAMPLED_STATE,,80.9
2025-05-26 09:34:45,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:34:45,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:3.58s",
2025-05-26 09:34:46,idle,SAMPLED_STATE,,65.4
2025-05-26 09:34:47,idle,SAMPLED_STATE,,19.9
2025-05-26 09:34:48,idle,SAMPLED_STATE,,14.8
2025-05-26 09:34:49,idle,SAMPLED_STATE,,23.3
2025-05-26 09:34:49,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-05-26 09:34:50,working_normal,SAMPLED_STATE,,68.8
2025-05-26 09:34:51,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:34:51,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.27s",
2025-05-26 09:34:52,idle,SAMPLED_STATE,,62.0
2025-05-26 09:34:53,idle,SAMPLED_STATE,,3.7
2025-05-26 09:34:54,idle,SAMPLED_STATE,,10.4
2025-05-26 09:34:55,idle,SAMPLED_STATE,,2.1
2025-05-26 09:34:55,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:34:56,working_normal,SAMPLED_STATE,,44.2
2025-05-26 09:34:57,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.26s",
2025-05-26 09:34:57,idle,SAMPLED_STATE,,79.4
2025-05-26 09:34:58,idle,SAMPLED_STATE,,2.3
2025-05-26 09:34:59,idle,SAMPLED_STATE,,3.1
2025-05-26 09:35:00,idle,SAMPLED_STATE,,1.0
2025-05-26 09:35:01,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:35:01,working_normal,SAMPLED_STATE,,29.4
2025-05-26 09:35:02,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.30s",
2025-05-26 09:35:02,idle,SAMPLED_STATE,,82.5
2025-05-26 09:35:03,idle,SAMPLED_STATE,,0.5
2025-05-26 09:35:04,idle,SAMPLED_STATE,,3.4
2025-05-26 09:35:05,idle,SAMPLED_STATE,,0.5
2025-05-26 09:35:06,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-05-26 09:35:06,working_normal,SAMPLED_STATE,,29.3
2025-05-26 09:35:07,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:35:08,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.72s",
2025-05-26 09:35:08,idle,SAMPLED_STATE,,47.8
2025-05-26 09:35:09,idle,SAMPLED_STATE,,4.4
2025-05-26 09:35:10,idle,SAMPLED_STATE,,25.4
2025-05-26 09:35:11,idle,SAMPLED_STATE,,10.9
2025-05-26 09:35:12,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-05-26 09:35:12,working_normal,SAMPLED_STATE,,62.9
2025-05-26 09:35:13,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.64s",
2025-05-26 09:35:14,idle,SAMPLED_STATE,,80.4
2025-05-26 09:35:15,idle,SAMPLED_STATE,,16.0
2025-05-26 09:35:16,idle,SAMPLED_STATE,,20.1
2025-05-26 09:35:17,idle,SAMPLED_STATE,,6.8
2025-05-26 09:35:17,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-05-26 09:35:18,working_normal,SAMPLED_STATE,,38.4
2025-05-26 09:35:19,working_normal,SAMPLED_STATE,,100.0
2025-05-26 09:35:19,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.74s",
2025-05-26 09:35:20,idle,SAMPLED_STATE,,52.5
