timestamp,state,event_type,event_details,cpu_percent
2025-06-02 20:25:55,idle,SCRIPT_START,,
2025-06-02 20:25:55,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-06-02 20:25:55,working_normal,SAMPLED_STATE,,94.2
2025-06-02 20:25:56,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:25:57,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.57s",
2025-06-02 20:25:57,idle,SAMPLED_STATE,,50.7
2025-06-02 20:25:58,idle,SAMPLED_STATE,,16.4
2025-06-02 20:25:59,idle,SAMPLED_STATE,,18.6
2025-06-02 20:26:00,idle,SAMPLED_STATE,,7.0
2025-06-02 20:26:01,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:26:01,working_normal,SAMPLED_STATE,,81.4
2025-06-02 20:26:02,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:26:03,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.22s",
2025-06-02 20:26:03,idle,SAMPLED_STATE,,53.5
2025-06-02 20:26:04,idle,SAMPLED_STATE,,18.2
2025-06-02 20:26:05,idle,SAMPLED_STATE,,11.4
2025-06-02 20:26:06,idle,SAMPLED_STATE,,7.8
2025-06-02 20:26:07,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:26:07,working_normal,SAMPLED_STATE,,62.6
2025-06-02 20:26:08,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:26:09,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.24s",
2025-06-02 20:26:09,idle,SAMPLED_STATE,,73.2
2025-06-02 20:26:10,idle,SAMPLED_STATE,,13.8
2025-06-02 20:26:11,idle,SAMPLED_STATE,,12.1
2025-06-02 20:26:12,idle,SAMPLED_STATE,,7.2
2025-06-02 20:26:13,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:26:13,working_normal,SAMPLED_STATE,,43.5
2025-06-02 20:26:14,working_normal,SAMPLED_STATE,,99.5
2025-06-02 20:26:15,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.36s",
2025-06-02 20:26:16,idle,SAMPLED_STATE,,95.7
2025-06-02 20:26:17,idle,SAMPLED_STATE,,15.9
2025-06-02 20:26:18,idle,SAMPLED_STATE,,12.2
2025-06-02 20:26:19,idle,SAMPLED_STATE,,6.9
2025-06-02 20:26:19,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:26:20,working_normal,SAMPLED_STATE,,38.8
2025-06-02 20:26:21,working_normal,SAMPLED_STATE,,99.8
2025-06-02 20:26:22,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.26s",
2025-06-02 20:26:22,idle,SAMPLED_STATE,,96.7
2025-06-02 20:26:23,idle,SAMPLED_STATE,,14.8
2025-06-02 20:26:24,idle,SAMPLED_STATE,,12.2
2025-06-02 20:26:25,idle,SAMPLED_STATE,,8.8
2025-06-02 20:26:26,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-06-02 20:26:26,working_normal,SAMPLED_STATE,,34.0
2025-06-02 20:26:27,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:26:28,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.86s",
2025-06-02 20:26:28,idle,SAMPLED_STATE,,62.3
2025-06-02 20:26:29,idle,SAMPLED_STATE,,16.8
2025-06-02 20:26:30,idle,SAMPLED_STATE,,12.9
2025-06-02 20:26:31,idle,SAMPLED_STATE,,12.3
2025-06-02 20:26:32,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:26:32,working_normal,SAMPLED_STATE,,48.3
2025-06-02 20:26:33,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:26:34,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.20s",
2025-06-02 20:26:34,idle,SAMPLED_STATE,,78.6
2025-06-02 20:26:35,idle,SAMPLED_STATE,,15.9
2025-06-02 20:26:36,idle,SAMPLED_STATE,,11.5
2025-06-02 20:26:37,idle,SAMPLED_STATE,,5.4
2025-06-02 20:26:38,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-06-02 20:26:38,working_normal,SAMPLED_STATE,,39.5
2025-06-02 20:26:39,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:26:39,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.39s",
2025-06-02 20:26:40,idle,SAMPLED_STATE,,26.7
2025-06-02 20:26:41,idle,SAMPLED_STATE,,7.5
2025-06-02 20:26:42,idle,SAMPLED_STATE,,9.9
2025-06-02 20:26:43,idle,SAMPLED_STATE,,10.3
2025-06-02 20:26:43,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:26:44,working_normal,SAMPLED_STATE,,92.4
2025-06-02 20:26:45,working_normal,SAMPLED_STATE,,99.5
2025-06-02 20:26:45,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.28s",
2025-06-02 20:26:46,idle,SAMPLED_STATE,,48.6
2025-06-02 20:26:47,idle,SAMPLED_STATE,,7.9
2025-06-02 20:26:48,idle,SAMPLED_STATE,,9.8
2025-06-02 20:26:49,idle,SAMPLED_STATE,,10.1
2025-06-02 20:26:49,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-06-02 20:26:50,working_normal,SAMPLED_STATE,,71.8
2025-06-02 20:26:51,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.46s",
2025-06-02 20:26:51,idle,SAMPLED_STATE,,83.0
2025-06-02 20:26:52,idle,SAMPLED_STATE,,14.2
2025-06-02 20:26:53,idle,SAMPLED_STATE,,5.3
2025-06-02 20:26:54,idle,SAMPLED_STATE,,10.0
2025-06-02 20:26:55,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-06-02 20:26:55,working_normal,SAMPLED_STATE,,43.5
2025-06-02 20:26:56,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:26:57,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.64s",
2025-06-02 20:26:57,idle,SAMPLED_STATE,,37.1
2025-06-02 20:26:58,idle,SAMPLED_STATE,,13.2
2025-06-02 20:26:59,idle,SAMPLED_STATE,,10.4
2025-06-02 20:27:00,idle,SAMPLED_STATE,,10.2
2025-06-02 20:27:01,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:27:01,working_normal,SAMPLED_STATE,,81.9
2025-06-02 20:27:02,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:27:03,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.55s",
2025-06-02 20:27:03,idle,SAMPLED_STATE,,80.8
2025-06-02 20:27:04,idle,SAMPLED_STATE,,27.2
2025-06-02 20:27:05,idle,SAMPLED_STATE,,14.1
2025-06-02 20:27:06,idle,SAMPLED_STATE,,19.3
2025-06-02 20:27:07,working_normal,WORKLOAD_START,"type:normal,size:3000",
2025-06-02 20:27:07,working_normal,SAMPLED_STATE,,52.1
2025-06-02 20:27:08,working_normal,SAMPLED_STATE,,99.5
2025-06-02 20:27:09,working_normal,WORKLOAD_END,"type:normal,size:3000,duration:1.91s",
2025-06-02 20:27:09,idle,SAMPLED_STATE,,61.0
2025-06-02 20:27:10,idle,SAMPLED_STATE,,35.4
2025-06-02 20:27:11,idle,SAMPLED_STATE,,35.4
2025-06-02 20:27:12,idle,SAMPLED_STATE,,15.9
2025-06-02 20:27:13,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-06-02 20:27:14,working_normal,SAMPLED_STATE,,56.0
2025-06-02 20:27:14,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.33s",
2025-06-02 20:27:15,idle,SAMPLED_STATE,,95.3
2025-06-02 20:27:16,idle,SAMPLED_STATE,,12.1
2025-06-02 20:27:17,idle,SAMPLED_STATE,,12.9
2025-06-02 20:27:18,idle,SAMPLED_STATE,,9.3
2025-06-02 20:27:18,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-06-02 20:27:19,working_normal,SAMPLED_STATE,,35.9
2025-06-02 20:27:20,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:27:20,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.88s",
2025-06-02 20:27:21,idle,SAMPLED_STATE,,67.8
2025-06-02 20:27:22,idle,SAMPLED_STATE,,10.4
2025-06-02 20:27:23,idle,SAMPLED_STATE,,11.1
2025-06-02 20:27:24,idle,SAMPLED_STATE,,11.1
2025-06-02 20:27:24,working_normal,WORKLOAD_START,"type:normal,size:2800",
2025-06-02 20:27:25,working_normal,SAMPLED_STATE,,56.5
2025-06-02 20:27:26,working_normal,WORKLOAD_END,"type:normal,size:2800,duration:1.42s",
2025-06-02 20:27:26,idle,SAMPLED_STATE,,93.9
2025-06-02 20:27:27,idle,SAMPLED_STATE,,12.5
2025-06-02 20:27:28,idle,SAMPLED_STATE,,11.0
2025-06-02 20:27:29,idle,SAMPLED_STATE,,5.6
2025-06-02 20:27:30,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:27:30,working_normal,SAMPLED_STATE,,36.2
2025-06-02 20:27:31,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:27:32,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.24s",
2025-06-02 20:27:32,idle,SAMPLED_STATE,,94.0
2025-06-02 20:27:33,idle,SAMPLED_STATE,,12.8
2025-06-02 20:27:34,idle,SAMPLED_STATE,,10.6
2025-06-02 20:27:35,idle,SAMPLED_STATE,,6.1
2025-06-02 20:27:36,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:27:36,working_normal,SAMPLED_STATE,,39.9
2025-06-02 20:27:37,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:27:38,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.22s",
2025-06-02 20:27:38,idle,SAMPLED_STATE,,95.5
2025-06-02 20:27:39,idle,SAMPLED_STATE,,7.2
2025-06-02 20:27:40,idle,SAMPLED_STATE,,11.4
2025-06-02 20:27:41,idle,SAMPLED_STATE,,15.1
2025-06-02 20:27:42,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-06-02 20:27:43,working_normal,SAMPLED_STATE,,35.5
2025-06-02 20:27:44,working_normal,SAMPLED_STATE,,99.8
2025-06-02 20:27:44,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.80s",
2025-06-02 20:27:45,idle,SAMPLED_STATE,,55.6
2025-06-02 20:27:46,idle,SAMPLED_STATE,,13.8
2025-06-02 20:27:47,idle,SAMPLED_STATE,,9.7
2025-06-02 20:27:48,idle,SAMPLED_STATE,,11.4
2025-06-02 20:27:48,working_normal,WORKLOAD_START,"type:normal,size:3200",
2025-06-02 20:27:49,working_normal,SAMPLED_STATE,,61.4
2025-06-02 20:27:50,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:27:50,working_normal,WORKLOAD_END,"type:normal,size:3200,duration:1.88s",
2025-06-02 20:27:51,idle,SAMPLED_STATE,,41.5
2025-06-02 20:27:52,idle,SAMPLED_STATE,,18.0
2025-06-02 20:27:53,idle,SAMPLED_STATE,,3.2
2025-06-02 20:27:54,idle,SAMPLED_STATE,,20.6
2025-06-02 20:27:54,working_normal,WORKLOAD_START,"type:normal,size:3400",
2025-06-02 20:27:55,working_normal,SAMPLED_STATE,,75.0
2025-06-02 20:27:56,working_normal,SAMPLED_STATE,,100.0
2025-06-02 20:27:56,working_normal,WORKLOAD_END,"type:normal,size:3400,duration:2.29s",
2025-06-02 20:27:57,idle,SAMPLED_STATE,,60.7
2025-06-02 20:27:58,idle,SAMPLED_STATE,,25.4
2025-06-02 20:27:59,idle,SAMPLED_STATE,,4.8
2025-06-02 20:28:00,idle,SAMPLED_STATE,,7.3
