Model,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
AnomalyTransformer,7.541199445724487,0.0158333333333333,0.4779847586790855,0.2105674536745982,0.6610083675415669,0.0311727858298359,0.0,0.0,0.0,0.5174722757167239
AnomalyTransformer,8.717033863067627,0.0158333333333333,0.4779847586790855,0.2105674536745982,0.6610083675415669,0.0311730926989335,0.0,0.0,0.0,0.5174722757167239
AutoEncoder,1.2388689517974854,0.0738775252787424,0.854484503666731,0.7815695298875592,0.9733118020261218,0.1512578208229732,0.1854304635761589,0.15122199592668,0.1802486097604383,0.7780488538997482
AutoEncoder,1.1921186447143557,0.0650612684019232,0.8122019697847497,0.7650781170572938,0.9660561618025914,0.1314285714285714,0.1420454545454545,0.1290743155149932,0.1322408122734558,0.6323101203343757
CNN,1.7039995193481443,0.3698919625202541,0.7629771578254131,0.5386708410008771,0.9730777213055416,0.414629907836308,0.8596491228070176,0.7555555555555551,0.5115596330275228,0.908582382534156
CNN,1.5835225582122805,0.3865411731848019,0.7676565107377532,0.568202078685069,0.9737196227655524,0.4271844660194174,0.8260869565217391,0.6363636363636358,0.4761904761904761,0.91206803570314
FFT,0.0099992752075195,0.0790942430014003,0.8048313699857887,0.629560051626329,0.942623623306548,0.1657989466533858,0.2030456852791878,0.1761006289308172,0.1386695380793473,0.7732141827313126
FFT,0.0120778083801269,0.0790942430014003,0.8048313699857887,0.629560051626329,0.942623623306548,0.1658031088082901,0.1714285714285714,0.1526717557251903,0.1270272778387348,0.4115958437713056
FITS,1.369375705718994,0.0147192585063578,0.4426420270263579,0.2789437163960224,0.9400562509750694,0.0339928499793445,0.0862944162436548,0.0351749866761413,0.0361783563902344,0.6963750738166835
FITS,1.240175485610962,0.0152793780360037,0.4846769760981624,0.3397547930573188,0.9322556589720672,0.0346534653465346,0.0728155339805825,0.0324324324324323,0.0264227642276422,0.6703221717111997
IForest,0.2460005283355713,0.0319691203803,0.6674044694009933,0.5718814309107982,0.969040816860544,0.0937470721617525,0.1877022653721682,0.0983606557377047,0.0894187779433681,0.7584939623762078
IForest,0.2089564800262451,0.0319691203803,0.6674044694009933,0.5718814309107982,0.969040816860544,0.09375,0.1845238095238095,0.0974067046173306,0.0927962085308056,0.763057398191152
KMeansAD_U,0.2138779163360595,0.4191985516762196,0.979212779337562,0.9140837089355884,0.996293044109822,0.4864817504113374,0.5323741007194245,0.5055165496489463,0.5351115961567269,0.9169696794607004
KMeansAD_U,0.1621289253234863,0.4191985516762196,0.979212779337562,0.9140837089355884,0.996293044109822,0.4864864864864864,0.5263157894736842,0.4999999999999995,0.5079093865402635,0.7997135308769611
KShapeAD,57.57352828979492,0.0672507636073291,0.8275373729270962,0.6431818428547251,0.8831214531225224,0.1505350395001591,0.1501501501501501,0.1465968586387432,0.1700170342557992,0.725412327771677
KShapeAD,50.63032960891724,0.0888469258875307,0.8252348341924526,0.622137853816866,0.8922962864600081,0.1488833746898263,0.1488833746898263,0.1458285714285712,0.0664512031790048,0.612349270057172
Left_STAMPi,4.624627590179443,0.1093841026100898,0.8122093973290551,0.7649351339993458,0.9564730613096012,0.1714255469921352,0.1655172413793103,0.1578947368421049,0.2680935852346203,0.7861601147865698
Left_STAMPi,4.915597200393677,0.1093841026100898,0.8122093973290551,0.7649351339993458,0.9564730613096012,0.1714285714285714,0.1714285714285714,0.1612903225806448,0.1338624338624338,0.1801096075183086
LOF,0.0189986228942871,0.0235042706568096,0.5827700778901812,0.2500069652993326,0.9384113284961,0.0711222652267139,0.0313876651982378,0.030853994490358,0.0389393637928493,0.6664831269220585
LOF,0.0188314914703369,0.0235042706568096,0.5827700778901812,0.2500069652993326,0.9384113284961,0.0711237553342816,0.1553133514986376,0.0718562874251496,0.0717378942303486,0.699695614855946
LSTMAD,0.4039990901947021,0.3615768194410428,0.7635020376229879,0.5280935272160446,0.9723347620840018,0.4050592725923431,0.8363636363636363,0.7894736842105257,0.5060352831940576,0.8890697016891469
LSTMAD,1.779520034790039,0.537389776281111,0.8635708662002168,0.7000217022642546,0.9848707908597136,0.5934065934065933,0.9421487603305784,0.8813559322033893,0.6463735437805336,0.9540576290535716
M2N2,0.5412776470184326,0.3688256828515509,0.7933780966670133,0.5631252312930003,0.974971775682944,0.4303757282862004,0.8828828828828829,0.8205128205128199,0.5357417371252882,0.9120393681697996
M2N2,0.5576591491699219,0.2449855752512695,0.7891023069952613,0.4120270526842721,0.968675595395428,0.3529411764705881,0.7272727272727273,0.5957446808510634,0.4106988783433994,0.7653935139353518
MatrixProfile,29.85708737373352,0.0706285591123969,0.7801075508415407,0.7241823569597822,0.922759935857578,0.1730719694465155,0.1836734693877551,0.1634241245136181,0.2373753201422133,0.7421820622149752
MatrixProfile,30.330098390579224,0.0706285591123969,0.7801075508415407,0.7241823569597822,0.922759935857578,0.173076923076923,0.173076923076923,0.1610738255033552,0.1074944558436444,0.2477174048967144
MOMENT_ZS,4.321999788284302,0.101818706899363,0.7925684943377354,0.6796729418737625,0.968860566014307,0.1456906645961414,0.2823529411764706,0.2068965517241375,0.1353441016611804,0.7893959028980683
MOMENT_ZS,4.706950664520264,0.101818706899363,0.7925684943377354,0.6796729418737625,0.968860566014307,0.1456953642384106,0.2278481012658227,0.1583113456464376,0.1117464466590426,0.6003184763489271
OmniAnomaly,2.2484207153320312,0.6293405139070687,0.992384291238964,0.9486109408528564,0.9983943444937796,0.6725613721101541,0.71875,0.6956521739130429,0.6223200251493242,0.9358646856578848
