file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_CPU1_id_1_Hardware_tr_1150_1st_1196.csv,2.2484207153320312,0.6293405139070687,0.9923842912389639,0.9486109408528564,0.9983943444937796,0.6725613721101541,0.71875,0.6956521739130429,0.6223200251493242,0.9358646856578847
002_CPU1_id_02_Hardware_tr_982_1st_984.csv,1.1895389556884766,0.056195682209934386,0.6672884800576617,0.07016785514865219,0.7250459851028668,0.101133210299918,0.4607142857142857,0.15451201038736181,0.11323991993136974,0.7000087000873657
003_CPU1_id_03_Hardware_tr_1169_1st_1172.csv,1.1256041526794434,0.24419342424211607,0.9437162023410227,0.2872694042160416,0.9599462281045447,0.37917786105112566,0.7817258883248731,0.47376623376623334,0.2907604251839738,0.8044966961843627
001_CPU1_id_1_Hardware_tr_1150_1st_1196.csv,7.76303243637085,0.6470925903421265,0.9929339295175563,0.9354565022427345,0.9988569428170216,0.6474820143884893,0.676056338028169,0.6628267611874165,0.5254903864828122,0.9193789503277333
002_CPU1_id_02_Hardware_tr_982_1st_984.csv,0.8593854904174805,0.0425601399653251,0.6216199051180706,0.05854696872414501,0.6832830843964939,0.08869814020028612,0.14958448753462603,0.09104367135455207,0.0674548191252324,0.6824034632925049
003_CPU1_id_03_Hardware_tr_1169_1st_1172.csv,1.060750961303711,0.22637684453620346,0.9396186521246415,0.26117142223004836,0.9565799803939457,0.36252545824847254,0.5894736842105263,0.42926829268292643,0.19594310728743758,0.799428209359841
005_CPU2_id_05_Hardware_tr_2000_1st_2015.csv,1.1990852355957031,0.02335450758704382,0.8521034452218581,0.05014733449788918,0.9002825558400649,0.06996901295928157,0.10300429184549356,0.07207207207207193,0.03655352480417754,0.6959344930273909
006_CPU2_id_06_Hardware_tr_2000_1st_2012.csv,0.9729347229003906,0.05219040507530756,0.7807973473205756,0.061569108503312105,0.817041171037037,0.11782945736434111,0.27801418439716313,0.12973352033660576,0.06573056821746161,0.69650504081544
007_CPU3_id_07_Hardware_tr_1500_1st_1559.csv,1.01906418800354,0.1426758063037821,0.8899366014099884,0.1672003939191652,0.9244039813139583,0.31135531135531136,0.4556113902847571,0.34077079107505037,0.11059175418168173,0.7769480958399301
007_CPU3_id_07_Hardware_tr_1500_1st_1559.csv,1.2589571475982666,0.10471827537379515,0.8693468569505972,0.12487364232819394,0.9056530910398441,0.23309352517985613,0.34054054054054056,0.24883359253499196,0.08707426717001945,0.7634947742444653
008_CPU3_id_08_Hardware_tr_1500_1st_1814.csv,1.0631382465362549,0.19167174166650774,0.6077819960873347,0.22814473058711737,0.6898043633569848,0.3841059602649007,0.3841059602649007,0.5479452054794515,0.5262057999545696,0.6871230034415177
010_RAMspike_10_Hardware_tr_1200_1st_1210.csv,1.377525806427002,0.9791081037019836,0.9995997868338293,0.9865837802510862,0.9998354330231647,0.9130434782608696,0.9528795811518325,0.9485714285714281,0.9171590809838085,0.9969828774776102
011_RAMsleep_11_Hardware_tr_1200_1st_1324.csv,1.5713250637054443,0.2378316062830686,0.8521130692723782,0.2666833921474636,0.8712290283865134,0.5617021276595745,0.7885304659498208,0.6878306878306873,0.27169811320754716,0.8983286512035997
012_RAMmedium_12_Hardware_tr_1200_1st_1237.csv,1.5170729160308838,0.0049260683953175795,0.2509376775904527,0.015622489884097566,0.5424770430756696,0.015904572564612324,0.015904572564612324,0.015513126491646762,0.0086920586260164,0.6704024307860968
013_RAMmixed_13_Hardware_tr_2000_1st_2083.csv,1.460771083831787,0.5148574237118233,0.8397674454859883,0.3941692639119818,0.878166853959611,0.6404199475065617,0.7666666666666667,0.6585034013605436,0.3007491632454114,0.839603504653167
